"","word","spacetime"
"940","skeena","other"
"941","slack","other"
"942","slack","other"
"943","slippery","other"
"944","slippery","other"
"945","sloppily","other"
"946","sloppily","other"
"947","smooth","other"
"948","smooth","other"
"949","smoothly","other"
"950","smoothly","other"
"951","smoothly","other"
"952","soft","other"
"953","soft","other"
"954","solitary","other"
"955","solitary","other"
"956","sore","other"
"957","sparse","other"
"958","spraddle","other"
"959","sprawlers","other"
"960","staten","other"
"961","steadily","other"
"962","steady","other"
"963","stiff","other"
"964","stiff","other"
"965","stiff","other"
"966","stilt","other"
"967","stingy","other"
"968","stingy","other"
"969","stoically","other"
"970","stoically","other"
"971","strenuous","other"
"972","strenuous","other"
"973","stressful","other"
"974","stressful","other"
"975","strong","other"
"976","strong","other"
"977","stubborn","other"
"978","stubborn","other"
"979","such","other"
"980","suent","other"
"981","sume","other"
"982","supple","other"
"983","supple","other"
"984","synonym","other"
"985","tame","other"
"986","tame","other"
"987","tarring","other"
"988","tarry","other"
"989","tateh","other"
"990","taut","other"
"991","taut","other"
"992","taut","other"
"993","tedious","other"
"994","tedious","other"
"995","tempting","other"
"996","tempting","other"
"997","tenaciously","other"
"998","tense","other"
"999","tense","other"
"1000","tenuous","other"
"1001","thankful","other"
"1002","thayut","other"
"1003","timid","other"
"1004","timid","other"
"1005","tired","other"
"1006","tiresome","other"
"1007","tiresome","other"
"1008","tiring","other"
"1009","tiring","other"
"1010","torpid","other"
"1011","torturous","other"
"1012","touchy","other"
"1013","touchy","other"
"1014","tough","other"
"1015","tough","other"
"1016","toughly","other"
"1017","toughly","other"
"1018","traumatic","other"
"1019","traumatic","other"
"1020","traumatizing","other"
"1021","tricky","other"
"1022","tricky","other"
"1023","turbulent","other"
"1024","typecast","other"
"1025","unaccounted","other"
"1026","unbred","other"
"1027","unbred","other"
"1028","uncommon","other"
"1029","undramatic","other"
"1030","uneventful","other"
"1031","uneventful","other"
"1032","uneventful","other"
"1033","unfashionable","other"
"1034","unsubstantial","other"
"1035","untame","other"
"1036","usual","other"
"1037","utde","other"
"1038","utna","other"
"1039","vain","other"
"1040","vain","other"
"1041","valon","other"
"1042","vashon","other"
"1043","vears","other"
"1044","vethulf","other"
"1045","vethulf","other"
"1046","vethulf","other"
"1047","wasting","other"
"1048","weak","other"
"1049","weak","other"
"1050","weary","other"
"1051","well","other"
"1052","well","other"
"1053","weu","other"
"1054","weu","other"
"1055","whippings","other"
"1056","wispy","other"
"1057","wispy","other"
"1058","wobbly","other"
"1059","wobbly","other"
"1060","wraith","other"
"1061","wrangel","other"
"1062","yl","other"
"1063","yl","other"
"1064","another","other"
"1065","awkward","other"
"1066","ballsy","other"
"1067","bashful","other"
"1068","bearish","other"
"1069","beginner","other"
"1070","benzel","other"
"1071","bladelike","other"
"1072","blunt","other"
"1073","bold","other"
"1074","bouncy","other"
"1075","buoyant","other"
"1076","businesslike","other"
"1077","cantle","other"
"1078","careless","other"
"1079","casual","other"
"1080","catchy","other"
"1081","cautionary","other"
"1082","cheap","other"
"1083","circumspect","other"
"1084","clever","other"
"1085","climbable","other"
"1086","clubfoot","other"
"1087","clumsy","other"
"1088","clumsy","other"
"1089","clunky","other"
"1090","coarse","other"
"1091","coincidental","other"
"1092","commendable","other"
"1093","comparatively","other"
"1094","conspicuous","other"
"1095","corny","other"
"1096","coy","other"
"1097","cresta","other"
"1098","crucial","other"
"1099","cutoff","other"
"1100","dainty","other"
"1101","decent","other"
"1102","decisive","other"
"1103","definite","other"
"1104","demoralizing","other"
"1105","derisive","other"
"1106","derogatory","other"
"1107","digressive","other"
"1108","disappointing","other"
"1109","disconcerting","other"
"1110","dodgy","other"
"1111","doublebreasted","other"
"1112","doublebreasted","other"
"1113","dovey","other"
"1114","dramatic","other"
"1115","drastic","other"
"1116","dressy","other"
"1117","easiest","other"
"1118","emptor","other"
"1119","emptor","other"
"1120","encumbering","other"
"1121","erself","other"
"1122","euphemistic","other"
"1123","evasive","other"
"1124","farthingale","other"
"1125","fastidious","other"
"1126","fidgety","other"
"1127","flashy","other"
"1128","flattering","other"
"1129","gentle","other"
"1130","gentlemanly","other"
"1131","gestation","other"
"1132","glib","other"
"1133","graceful","other"
"1134","graceful","other"
"1135","gripes","other"
"1136","grouchy","other"
"1137","gushy","other"
"1138","gutsy","other"
"1139","hackneyed","other"
"1140","harrowing","other"
"1141","heady","other"
"1142","heartening","other"
"1143","hefty","other"
"1144","hesitant","other"
"1145","highfalutin","other"
"1146","highintensity","other"
"1147","hindo","other"
"1148","hokey","other"
"1149","hormona","other"
"1150","impolite","other"
"1151","impolitic","other"
"1152","impractical","other"
"1153","inflation","other"
"1154","insignificant","other"
"1155","intermediate","other"
"1156","jarring","other"
"1157","jigging","other"
"1158","judicious","other"
"1159","karlohs","other"
"1160","kinky","other"
"1161","kiz","other"
"1162","knotless","other"
"1163","lackluster","other"
"1164","ladylike","other"
"1165","lag","other"
"1166","lame","other"
"1167","latisse","other"
"1168","lawyerly","other"
"1169","lenient","other"
"1170","lethargic","other"
"1171","lightweight","other"
"1172","manageable","other"
"1173","marginal","other"
"1174","meaningful","other"
"1175","meaningless","other"
"1176","mere","other"
"1177","midcalf","other"
"1178","mild","other"
"1179","mishits","other"
"1180","modest","other"
"1181","monogamous","other"
"1182","mpl","other"
"1183","mushy","other"
"1184","nasty","other"
"1185","neat","other"
"1186","negligible","other"
"1187","nervy","other"
"1188","nightscapes","other"
"1189","noticeable","other"
"1190","occam","other"
"1191","out","other"
"1192","pageboy","other"
"1193","pant","other"
"1194","perceptive","other"
"1195","perfect","other"
"1196","pessimistic","other"
"1197","playable","other"
"1198","polite","other"
"1199","ponderous","other"
"1200","precise","other"
"1201","pricey","other"
"1202","prudent","other"
"1203","pulsation","other"
"1204","punchy","other"
"1205","qarl","other"
"1206","raggedly","other"
"1207","respectable","other"
"1208","respectably","other"
"1209","rialt","other"
"1210","ridiculously","other"
"1211","ridiculously","other"
"1212","risque","other"
"1213","robust","other"
"1214","rockered","other"
"1215","romantic","other"
"1216","rpe","other"
"1217","saddening","other"
"1218","sappy","other"
"1219","satisfactory","other"
"1220","satisfying","other"
"1221","savile","other"
"1222","scary","other"
"1223","scraggly","other"
"1224","selective","other"
"1225","senoritas","other"
"1226","sensible","other"
"1227","sentimental","other"
"1228","sexy","other"
"1229","shaky","other"
"1230","shrewd","other"
"1231","shy","other"
"1232","silky","other"
"1233","simplest","other"
"1234","simplistic","other"
"1235","sketchy","other"
"1236","skimpy","other"
"1237","slight","other"
"1238","sloppy","other"
"1239","sluggish","other"
"1240","slurred","other"
"1241","smarty","other"
"1242","smoother","other"
"1243","snappy","other"
"1244","softer","other"
"1245","soldierly","other"
"1246","squeamish","other"
"1247","stealthy","other"
"1248","stilettos","other"
"1249","stilted","other"
"1250","stout","other"
"1251","straggly","other"
"1252","straightforward","other"
"1253","stretchy","other"
"1254","sturdy","other"
"1255","suave","other"
"1256","subpar","other"
"1257","substantial","other"
"1258","subtle","other"
"1259","superficial","other"
"1260","suspenseful","other"
"1261","szulc","other"
"1262","tad","other"
"1263","tasteless","other"
"1264","tender","other"
"1265","tentative","other"
"1266","thoughtless","other"
"1267","thrilling","other"
"1268","ticklish","other"
"1269","tippet","other"
"1270","tomor","other"
"1271","tootin","other"
"1272","trouser","other"
"1273","turny","other"
"1274","typically","other"
"1275","uncomplicated","other"
"1276","uncool","other"
"1277","underpowered","other"
"1278","undervalued","other"
"1279","unemotional","other"
"1280","uninterrupted","other"
"1281","unsatisfying","other"
"1282","unwise","other"
"1283","uppers","other"
"1284","vanlandscho","other"
"1285","verbose","other"
"1286","virage","other"
"1287","vowel","other"
"1288","waisted","other"
"1289","warmup","other"
"1290","wimpy","other"
"1291","wincingly","other"
"1292","winded","other"
"1293","wise","other"
"1294","wiseass","other"
"1295","worrisome","other"
"1296","bravely","other"
"1297","bushed","other"
"1298","carefully","other"
"1299","cheerfully","other"
"1300","eagerly","other"
"1301","excited","other"
"1302","falter","other"
"1303","formally","other"
"1304","glad","other"
"1305","gladly","other"
"1306","hopefully","other"
"1307","if","other"
"1308","ifit","other"
"1309","inevitably","other"
"1310","liberators","other"
"1311","magically","other"
"1312","miraculously","other"
"1313","mysteriously","other"
"1314","naturally","other"
"1315","nianhua","other"
"1316","officially","other"
"1317","readily","other"
"1318","relent","other"
"1319","reluctantly","other"
"1320","repatriated","other"
"1321","safely","other"
"1322","surely","other"
"1323","surely","other"
"1324","thaw","other"
"1325","thestrals","other"
"1326","unharmed","other"
"1327","unscathed","other"
"1328","wither","other"
"1329","beady","other"
"1330","bleary","other"
"1331","feathery","other"
"1332","featureless","other"
"1333","glassy","other"
"1334","goggle","other"
"1335","googly","other"
"1336","holobyte","other"
"1337","holobyte","other"
"1338","jagged","other"
"1339","ladron","other"
"1340","lipless","other"
"1341","lush","other"
"1342","parfocal","other"
"1343","parrotlike","other"
"1344","portaball","other"
"1345","razored","other"
"1346","ridged","other"
"1347","ringed","other"
"1348","roomy","other"
"1349","silvery","other"
"1350","sinewy","other"
"1351","sinuous","other"
"1352","squinty","other"
"1353","starry","other"
"1354","toothed","other"
"1355","toothy","other"
"1356","translucent","other"
"1357","transparent","other"
"1358","treeless","other"
